Start time:      2021/4/1 下午 03:00:02

Time	  Height	       P	       T	       U	      WS	      WD	  Ascent
 0.0,	      57,	  1004.1,	    23.8,	    78.0,	     0.2,	   233.0,	       0
 1.5,	      70,	  1002.7,	    24.1,	    89.0,	     0.8,	    37.4,	     512
 2.5,	      75,	  1002.1,	    24.4,	    88.4,	     1.1,	    38.2,	     307
 3.5,	      80,	  1001.5,	    24.5,	    87.1,	     1.3,	    38.3,	     324
 4.5,	      86,	  1000.8,	    24.5,	    85.7,	     1.4,	    38.3,	     353
 5.5,	      92,	  1000.1,	    24.6,	    84.2,	     1.5,	    38.2,	     383
 6.5,	      98,	   999.6,	    24.7,	    82.4,	     1.5,	    38.2,	     346
 7.5,	     104,	   999.0,	    24.8,	    81.1,	     1.6,	    38.2,	     339
 8.5,	     107,	   998.4,	    24.8,	    80.5,	     1.7,	    38.2,	     215
 9.5,	     111,	   997.9,	    24.8,	    80.3,	     1.8,	    38.2,	     187
10.5,	     116,	   997.3,	    24.8,	    80.6,	     1.9,	    38.1,	     355
11.5,	     121,	   996.8,	    24.8,	    80.9,	     1.9,	    38.0,	     300
12.5,	     126,	   996.3,	    24.7,	    80.8,	     2.0,	    37.9,	     279
13.5,	     130,	   995.7,	    24.7,	    80.7,	     2.0,	    37.7,	     213
14.5,	     135,	   995.2,	    24.6,	    80.8,	     2.1,	    37.5,	     338
15.5,	     141,	   994.6,	    24.7,	    80.8,	     2.1,	    37.2,	     319
16.5,	     146,	   994.1,	    24.7,	    80.6,	     2.1,	    36.9,	     327
17.5,	     151,	   993.6,	    24.7,	    80.4,	     2.1,	    36.5,	     309
18.5,	     155,	   993.1,	    24.7,	    80.2,	     2.1,	    36.1,	     207
19.5,	     158,	   992.6,	    24.7,	    80.1,	     2.1,	    35.6,	     198
20.5,	     162,	   992.0,	    24.7,	    80.3,	     2.1,	    35.0,	     255
21.5,	     167,	   991.5,	    24.7,	    80.5,	     2.1,	    34.2,	     309
22.5,	     173,	   991.0,	    24.7,	    80.4,	     2.0,	    33.4,	     336
23.5,	     177,	   990.5,	    24.7,	    80.2,	     2.0,	    32.4,	     263
24.5,	     182,	   990.0,	    24.7,	    80.2,	     1.9,	    31.3,	     278
25.5,	     186,	   989.4,	    24.7,	    80.2,	     1.9,	    30.0,	     248
26.5,	     192,	   988.9,	    24.7,	    80.4,	     1.8,	    28.5,	     333
27.5,	     195,	   988.4,	    24.7,	    80.6,	     1.7,	    26.9,	     210
28.5,	     201,	   987.9,	    24.7,	    80.6,	     1.7,	    25.0,	     359
29.5,	     205,	   987.3,	    24.7,	    80.6,	     1.6,	    22.9,	     248
30.5,	     209,	   986.8,	    24.7,	    80.7,	     1.5,	    20.6,	     232
31.5,	     214,	   986.2,	    24.7,	    80.9,	     1.5,	    18.0,	     305
32.5,	     219,	   985.7,	    24.8,	    80.9,	     1.4,	    15.1,	     303
33.5,	     226,	   985.1,	    24.8,	    80.7,	     1.3,	    12.0,	     374
34.5,	     230,	   984.6,	    24.8,	    80.8,	     1.3,	     8.5,	     266
35.5,	     235,	   984.0,	    24.8,	    80.9,	     1.2,	     4.8,	     297
36.5,	     240,	   983.5,	    24.8,	    80.8,	     1.1,	     0.8,	     282
37.5,	     245,	   982.9,	    24.7,	    80.8,	     1.1,	   356.6,	     286
38.5,	     250,	   982.4,	    24.7,	    81.0,	     1.0,	   352.3,	     303
39.5,	     255,	   981.8,	    24.7,	    81.4,	     1.0,	   347.8,	     307
40.5,	     260,	   981.2,	    24.6,	    81.6,	     1.0,	   343.3,	     308
41.5,	     265,	   980.7,	    24.6,	    81.6,	     0.9,	   338.7,	     334
42.5,	     269,	   980.1,	    24.5,	    81.8,	     0.9,	   334.3,	     239
43.5,	     273,	   979.6,	    24.5,	    82.1,	     0.9,	   330.0,	     225
44.5,	     279,	   979.0,	    24.4,	    82.4,	     0.9,	   326.0,	     357
45.5,	     286,	   978.4,	    24.4,	    82.5,	     0.8,	   322.1,	     390
46.5,	     291,	   977.9,	    24.3,	    82.5,	     0.8,	   318.5,	     329
47.5,	     295,	   977.3,	    24.3,	    82.4,	     0.8,	   315.2,	     235
48.5,	     301,	   976.7,	    24.3,	    82.5,	     0.8,	   312.3,	     364
49.5,	     306,	   976.2,	    24.2,	    82.6,	     0.7,	   309.8,	     282
50.5,	     309,	   975.7,	    24.2,	    82.6,	     0.7,	   307.6,	     197
51.5,	     314,	   975.1,	    24.1,	    83.0,	     0.7,	   305.7,	     276
52.5,	     320,	   974.6,	    24.1,	    83.6,	     0.7,	   304.2,	     346
53.5,	     326,	   974.1,	    24.0,	    84.0,	     0.6,	   303.1,	     379
54.5,	     329,	   973.5,	    24.0,	    84.1,	     0.6,	   302.4,	     180
55.5,	     334,	   973.0,	    24.0,	    84.3,	     0.5,	   302.1,	     290
56.5,	     338,	   972.5,	    23.9,	    84.7,	     0.5,	   302.2,	     269
57.5,	     344,	   972.0,	    23.9,	    84.9,	     0.5,	   302.8,	     334
58.5,	     347,	   971.5,	    23.8,	    84.9,	     0.4,	   303.9,	     179
59.5,	     351,	   971.0,	    23.8,	    85.0,	     0.4,	   305.7,	     261
60.5,	     356,	   970.4,	    23.7,	    85.1,	     0.3,	   308.3,	     304
61.5,	     363,	   969.9,	    23.7,	    84.5,	     0.3,	   311.7,	     380
62.5,	     366,	   969.3,	    23.7,	    83.3,	     0.3,	   315.9,	     226
63.5,	     371,	   968.8,	    23.7,	    82.5,	     0.3,	   320.8,	     304
64.5,	     377,	   968.2,	    23.7,	    81.4,	     0.2,	   326.4,	     342
65.5,	     382,	   967.6,	    23.7,	    79.2,	     0.2,	   332.5,	     276
66.5,	     389,	   967.1,	    23.8,	    76.4,	     0.2,	   339.0,	     466
67.5,	     394,	   966.5,	    23.9,	    75.2,	     0.2,	   345.4,	     299
68.5,	     398,	   966.0,	    23.9,	    76.0,	     0.1,	   351.3,	     231
69.5,	     402,	   965.4,	    23.8,	    77.6,	     0.1,	   356.2,	     221
70.5,	     408,	   964.9,	    23.7,	    80.1,	     0.1,	   359.6,	     338
71.5,	     411,	   964.4,	    23.6,	    82.6,	     0.1,	     1.1,	     186
72.5,	     416,	   963.8,	    23.6,	    84.2,	     0.1,	   359.4,	     320
73.5,	     422,	   963.3,	    23.5,	    85.5,	     0.0,	   350.0,	     374
74.5,	     428,	   962.8,	    23.4,	    86.1,	     0.0,	   310.0,	     340
75.5,	     431,	   962.3,	    23.4,	    86.1,	     0.0,	   249.1,	     204
76.5,	     435,	   961.8,	    23.4,	    86.2,	     0.1,	   231.1,	     232
77.5,	     439,	   961.3,	    23.3,	    86.2,	     0.1,	   225.7,	     243
78.5,	     445,	   960.7,	    23.3,	    86.1,	     0.2,	   223.9,	     354
79.5,	     450,	   960.2,	    23.3,	    86.0,	     0.2,	   223.3,	     257
80.5,	     455,	   959.7,	    23.2,	    86.1,	     0.3,	   223.3,	     326
81.5,	     459,	   959.1,	    23.2,	    86.2,	     0.3,	   223.3,	     260
82.5,	     464,	   958.6,	    23.2,	    86.2,	     0.4,	   223.4,	     289
83.5,	     470,	   958.0,	    23.2,	    86.0,	     0.5,	   223.4,	     317
84.5,	     475,	   957.5,	    23.2,	    85.7,	     0.5,	   223.4,	     355
85.5,	     481,	   956.9,	    23.2,	    84.9,	     0.6,	   223.5,	     324
86.5,	     485,	   956.4,	    23.3,	    83.8,	     0.7,	   223.7,	     219
87.5,	     489,	   955.8,	    23.3,	    82.5,	     0.7,	   223.9,	     266
88.5,	     495,	   955.3,	    23.4,	    81.4,	     0.8,	   224.1,	     334
89.5,	     500,	   954.7,	    23.4,	    80.6,	     0.8,	   224.3,	     348
90.5,	     507,	   954.2,	    23.5,	    79.8,	     0.9,	   224.4,	     375
91.5,	     512,	   953.6,	    23.5,	    79.0,	     0.9,	   224.6,	     294
92.5,	     516,	   953.1,	    23.5,	    78.1,	     1.0,	   224.7,	     276
93.5,	     519,	   952.5,	    23.5,	    77.5,	     1.0,	   224.9,	     150
94.5,	     524,	   952.0,	    23.5,	    77.3,	     1.1,	   225.0,	     350
95.5,	     530,	   951.5,	    23.5,	    76.9,	     1.1,	   225.1,	     309
96.5,	     535,	   951.0,	    23.5,	    76.1,	     1.1,	   225.3,	     348
97.5,	     541,	   950.4,	    23.5,	    74.6,	     1.1,	   225.5,	     351
98.5,	     545,	   949.9,	    23.5,	    72.9,	     1.2,	   225.7,	     231
99.5,	     549,	   949.4,	    23.5,	    71.1,	     1.2,	   226.1,	     214
100.5,	     553,	   949.0,	    23.5,	    69.1,	     1.2,	   226.5,	     267
101.5,	     558,	   948.5,	    23.6,	    66.6,	     1.2,	   227.1,	     273
102.5,	     562,	   948.0,	    23.6,	    64.1,	     1.2,	   227.8,	     264
103.5,	     567,	   947.5,	    23.7,	    61.2,	     1.2,	   228.6,	     269
104.5,	     571,	   947.0,	    23.7,	    59.5,	     1.2,	   229.6,	     233
