Start time:      2021/4/2 上午 03:00:02

Time	  Height	       P	       T	       U	      WS	      WD	  Ascent
 0.0,	      57,	  1005.1,	    30.7,	    45.6,	     1.1,	    79.0,	       0
 1.2,	      76,	  1002.9,	    29.5,	    56.7,	     1.0,	    56.6,	     963
 2.2,	      81,	  1002.4,	    29.2,	    57.7,	     1.1,	    48.8,	     272
 3.2,	      85,	  1001.9,	    29.0,	    58.2,	     1.1,	    46.6,	     258
 4.2,	      89,	  1001.5,	    29.0,	    58.2,	     1.2,	    46.7,	     220
 5.2,	      96,	  1000.8,	    29.0,	    58.0,	     1.3,	    47.1,	     399
 6.2,	     101,	  1000.0,	    29.0,	    57.8,	     1.4,	    47.1,	     313
 7.2,	     106,	   999.3,	    28.9,	    57.8,	     1.5,	    46.9,	     314
 8.2,	     114,	   998.6,	    28.9,	    57.8,	     1.6,	    46.5,	     461
 9.2,	     121,	   997.8,	    28.8,	    58.0,	     1.7,	    46.0,	     452
10.2,	     128,	   997.1,	    28.7,	    58.2,	     1.7,	    45.5,	     433
11.2,	     136,	   996.3,	    28.6,	    58.5,	     1.8,	    44.8,	     480
12.2,	     144,	   995.5,	    28.5,	    58.9,	     1.9,	    44.0,	     426
13.2,	     150,	   994.8,	    28.4,	    59.2,	     2.0,	    43.1,	     385
14.2,	     156,	   994.1,	    28.3,	    59.6,	     2.0,	    42.2,	     392
15.2,	     163,	   993.4,	    28.2,	    59.8,	     2.1,	    41.1,	     379
16.2,	     167,	   992.7,	    28.1,	    59.9,	     2.1,	    40.0,	     274
17.2,	     174,	   992.1,	    28.1,	    60.1,	     2.2,	    38.8,	     376
18.2,	     179,	   991.4,	    28.0,	    60.2,	     2.2,	    37.4,	     312
19.2,	     184,	   990.8,	    28.0,	    60.4,	     2.3,	    36.0,	     322
20.2,	     190,	   990.1,	    27.9,	    60.6,	     2.3,	    34.4,	     361
21.2,	     197,	   989.4,	    27.8,	    60.8,	     2.4,	    32.8,	     377
22.2,	     203,	   988.8,	    27.8,	    60.9,	     2.4,	    31.0,	     405
23.2,	     209,	   988.1,	    27.7,	    61.3,	     2.4,	    29.1,	     358
24.2,	     216,	   987.4,	    27.6,	    62.1,	     2.4,	    27.2,	     404
25.2,	     221,	   986.7,	    27.4,	    62.8,	     2.5,	    25.1,	     319
26.2,	     227,	   986.0,	    27.3,	    63.1,	     2.5,	    23.0,	     337
27.2,	     233,	   985.4,	    27.2,	    63.3,	     2.5,	    20.8,	     331
28.2,	     240,	   984.7,	    27.2,	    63.7,	     2.5,	    18.6,	     467
29.2,	     247,	   984.0,	    27.1,	    64.2,	     2.6,	    16.3,	     413
30.2,	     252,	   983.4,	    27.0,	    64.4,	     2.6,	    14.0,	     291
31.2,	     257,	   982.7,	    27.0,	    64.5,	     2.6,	    11.7,	     317
32.2,	     264,	   982.1,	    27.0,	    64.8,	     2.6,	     9.5,	     374
33.2,	     269,	   981.5,	    26.9,	    65.0,	     2.7,	     7.2,	     318
34.2,	     275,	   980.9,	    26.8,	    65.3,	     2.7,	     5.1,	     362
35.2,	     280,	   980.4,	    26.7,	    65.7,	     2.7,	     3.0,	     327
36.2,	     284,	   979.8,	    26.6,	    66.1,	     2.7,	     1.0,	     226
37.2,	     289,	   979.3,	    26.6,	    66.4,	     2.8,	   359.1,	     268
