100,200,300,400,500,600,700,800,900,1000
Time,Temp.,Humin.,Pressure.,Az,H1_u,H1_v,H1_w,H1_ws,H1_wd,H2_u,H2_v,H2_w,H2_ws,H2_wd,H3_u,H3_v,H3_w,H3_ws,H3_wd,H4_u,H4_v,H4_w,H4_ws,H4_wd,H5_u,H5_v,H5_w,H5_ws,H5_wd,H6_u,H6_v,H6_w,H6_ws,H6_wd,H7_u,H7_v,H7_w,H7_ws,H7_wd,H8_u,H8_v,H8_w,H8_ws,H8_wd,H9_u,H9_v,H9_w,H9_ws,H9_wd,H10_u,H10_v,H10_w,H10_ws,H10_wd
20201120_19:00:00.44,99.9,99.9,999.9,001,5.85,0.00,1.76,6.11,90.00,4.20,4.20,1.27,6.08,45.00,5.48,2.92,1.81,6.47,61.93,4.75,3.29,1.47,5.96,55.30,0.00,1.46,1.76,2.29,0.00,0.73,0.37,-2.99,3.10,63.43,1.83,-9.87,-0.59,10.05,169.51,1.83,0.73,5.63,5.97,68.20,2.92,-11.33,-0.24,11.71,165.53,-8.41,10.23,-2.20,13.43,320.60
20201120_19:00:00.97,99.9,99.9,999.9,001,5.85,0.00,1.76,6.11,90.00,2.92,4.20,1.10,5.24,34.82,5.12,2.92,1.86,6.18,60.26,4.75,3.29,1.47,5.96,55.30,0.00,1.46,1.76,2.29,0.00,1.10,-0.18,-3.11,3.30,99.46,1.83,-9.87,-0.59,10.05,169.51,1.83,0.73,5.63,5.97,68.20,2.92,-11.33,-0.24,11.71,165.53,0.00,9.87,-3.38,10.43,0.00
20201120_19:00:01.49,99.9,99.9,999.9,001,5.85,0.00,1.76,6.11,90.00,2.19,4.20,1.20,4.89,27.55,5.48,2.56,1.86,6.33,64.98,4.75,3.29,1.47,5.96,55.30,1.10,1.46,1.91,2.64,36.87,1.46,-0.18,-3.06,3.40,97.13,1.83,-10.60,-0.49,10.77,170.22,1.83,0.73,5.63,5.97,68.20,4.75,-11.33,-0.49,12.30,157.25,0.00,9.87,-3.38,10.43,0.00
20201120_19:00:02.02,99.9,99.9,999.9,001,5.85,-2.19,1.47,6.42,110.56,3.66,5.85,1.18,7.00,32.01,5.48,1.10,1.67,5.83,78.69,4.75,3.29,1.47,5.96,55.30,1.10,1.46,1.91,2.64,36.87,1.46,-0.18,-3.06,3.40,97.13,-0.37,-10.23,-0.73,10.27,182.05,-0.73,0.73,5.97,6.06,315.00,4.75,-11.33,-0.49,12.30,157.25,0.00,9.87,-3.38,10.43,0.00
20201120_19:00:02.55,99.9,99.9,999.9,001,5.85,-2.19,1.47,6.42,110.56,4.39,3.47,1.00,5.68,51.63,4.75,-0.73,1.32,4.99,98.75,4.75,2.92,1.42,5.76,58.39,1.10,0.73,1.81,2.24,56.31,1.46,-0.18,-3.06,3.40,97.13,-0.37,-10.23,-0.73,10.27,182.05,-0.73,0.73,5.97,6.06,315.00,4.75,-11.33,-0.49,12.30,157.25,0.00,9.87,-3.38,10.43,0.00
20201120_19:00:03.08,99.9,99.9,999.9,001,5.85,-2.19,1.47,6.42,110.56,4.39,4.93,1.20,6.71,41.63,4.93,-0.73,1.25,5.14,98.43,4.75,0.73,1.71,5.10,81.25,1.10,0.00,1.71,2.03,90.00,1.46,-0.18,-3.06,3.40,97.13,-0.37,-10.23,-0.73,10.27,182.05,0.91,0.73,5.75,5.87,51.34,4.75,-11.33,-0.49,12.30,157.25,0.00,10.23,-3.33,10.76,0.00
20201120_19:00:03.60,99.9,99.9,999.9,001,5.85,-2.19,1.47,6.42,110.56,4.39,4.93,0.81,6.65,41.63,4.57,-1.10,1.35,4.89,103.50,3.47,0.73,1.74,3.95,78.11,1.10,0.00,1.71,2.03,90.00,1.10,-0.18,-3.01,3.21,99.46,0.00,-5.48,-0.05,5.48,180.00,0.91,0.73,5.75,5.87,51.34,4.75,-11.33,-0.49,12.30,157.25,0.00,10.60,-3.28,11.10,0.00
20201120_19:00:04.13,99.9,99.9,999.9,001,8.04,-2.19,1.18,8.42,105.26,3.29,4.93,0.95,6.01,33.69,4.57,-2.56,1.54,5.46,119.25,3.11,-0.18,1.57,3.48,93.37,1.10,0.00,1.71,2.03,90.00,0.55,-0.18,-2.94,2.99,108.43,0.00,-5.48,-0.05,5.48,180.00,0.91,0.73,5.75,5.87,51.34,4.75,-11.33,-0.49,12.30,157.25,-22.30,10.60,-0.29,24.69,295.43
20201120_19:00:04.66,99.9,99.9,999.9,001,8.04,-2.19,1.18,8.42,105.26,2.92,4.93,0.91,5.81,30.65,4.57,-2.56,1.54,5.46,119.25,3.11,-1.28,1.71,3.77,112.38,1.10,0.00,1.71,2.03,90.00,0.55,-0.18,-2.94,2.99,108.43,-0.37,-0.73,0.54,0.98,206.57,0.91,0.73,5.75,5.87,51.34,4.75,-11.33,-0.49,12.30,157.25,-10.97,10.60,-1.81,15.36,314.03
20201120_19:00:05.18,99.9,99.9,999.9,001,8.04,-2.19,1.18,8.42,105.26,2.92,2.74,0.86,4.10,46.85,4.75,0.73,2.01,5.21,81.25,0.73,-1.28,1.89,2.39,150.26,1.10,0.00,1.71,2.03,90.00,0.91,-0.73,-3.21,3.41,128.66,-0.37,-0.73,0.54,0.98,206.57,0.91,0.73,5.75,5.87,51.34,4.75,-11.33,-0.49,12.30,157.25,-10.97,10.97,-1.76,15.61,315.00
