100,200,300,400,500,600,700,800,900,1000
Time,Temp.,Humin.,Pressure.,Az,H1_u,H1_v,H1_w,H1_ws,H1_wd,H2_u,H2_v,H2_w,H2_ws,H2_wd,H3_u,H3_v,H3_w,H3_ws,H3_wd,H4_u,H4_v,H4_w,H4_ws,H4_wd,H5_u,H5_v,H5_w,H5_ws,H5_wd,H6_u,H6_v,H6_w,H6_ws,H6_wd,H7_u,H7_v,H7_w,H7_ws,H7_wd,H8_u,H8_v,H8_w,H8_ws,H8_wd,H9_u,H9_v,H9_w,H9_ws,H9_wd,H10_u,H10_v,H10_w,H10_ws,H10_wd
20201120_17:00:00.01,99.9,99.9,999.9,001,6.21,-1.46,0.05,6.38,103.24,4.39,-1.10,0.15,4.52,104.04,4.02,1.10,0.29,4.18,74.74,4.39,2.19,0.29,4.91,63.43,-10.60,-0.73,3.28,11.12,266.05,10.23,6.21,-0.83,12.00,58.74,-14.26,-0.37,-0.88,14.29,268.53,25.95,-8.77,1.52,27.44,108.68,-15.35,-0.73,0.59,15.38,267.27,-17.55,23.03,0.54,28.96,322.70
20201120_17:00:00.53,99.9,99.9,999.9,001,6.21,-3.66,0.44,7.22,120.47,4.39,-0.73,0.20,4.45,99.46,4.39,1.10,0.24,4.53,75.96,4.39,2.19,0.29,4.91,63.43,-10.60,-0.73,3.28,11.12,266.05,19.37,6.21,0.39,20.35,72.22,-14.26,-0.37,-0.88,14.29,268.53,25.95,-8.77,1.52,27.44,108.68,-15.35,-0.73,0.59,15.38,267.27,-17.55,23.03,0.54,28.96,322.70
20201120_17:00:01.06,99.9,99.9,999.9,001,5.85,-1.83,0.24,6.13,107.35,4.39,-0.73,0.20,4.45,99.46,4.02,1.10,0.29,4.18,74.74,4.39,2.19,0.29,4.91,63.43,-10.60,-0.73,3.28,11.12,266.05,9.50,6.21,-0.93,11.39,56.82,-14.26,-0.37,-0.88,14.29,268.53,25.95,-8.77,1.52,27.44,108.68,-15.35,-0.73,0.59,15.38,267.27,-17.55,23.03,0.54,28.96,322.70
20201120_17:00:01.59,99.9,99.9,999.9,001,5.48,-2.19,0.24,5.91,111.80,4.39,-0.73,0.20,4.45,99.46,4.02,1.10,0.29,4.18,74.74,4.39,1.83,0.24,4.76,67.38,-10.60,-2.56,3.04,11.32,256.43,9.50,6.21,-0.93,11.39,56.82,-8.41,-0.37,-0.10,8.42,267.51,25.95,-8.77,1.52,27.44,108.68,-15.35,-0.73,0.59,15.38,267.27,-17.55,23.03,0.54,28.96,322.70
20201120_17:00:02.12,99.9,99.9,999.9,001,5.12,-1.83,0.24,5.44,109.65,4.39,-1.10,0.15,4.52,104.04,4.02,1.10,0.29,4.18,74.74,4.02,1.83,0.20,4.42,65.56,-10.60,-2.56,3.04,11.32,256.43,-0.37,6.21,-2.25,6.62,356.63,-7.68,-0.37,-0.20,7.69,267.27,25.95,-8.77,1.52,27.44,108.68,-15.35,-0.73,0.59,15.38,267.27,-17.55,23.03,0.54,28.96,322.70
20201120_17:00:02.64,99.9,99.9,999.9,001,5.12,-1.83,0.24,5.44,109.65,4.39,-1.10,0.15,4.52,104.04,4.02,0.73,0.24,4.09,79.70,4.39,1.83,0.15,4.75,67.38,-10.60,-2.56,3.04,11.32,256.43,-0.37,6.21,-2.25,6.62,356.63,-10.60,-1.10,-0.69,10.68,264.09,25.95,-8.77,1.52,27.44,108.68,-0.37,-0.73,2.60,2.72,206.57,-8.96,23.03,-0.61,24.72,338.75
20201120_17:00:03.17,99.9,99.9,999.9,001,4.39,-1.83,0.24,4.76,112.62,4.39,-1.10,0.15,4.52,104.04,4.39,0.73,0.20,4.45,80.54,4.75,1.83,0.10,5.09,68.96,-10.60,-2.56,3.04,11.32,256.43,-0.37,6.21,-2.25,6.62,356.63,-10.60,-1.10,-0.69,10.68,264.09,25.95,-8.77,1.52,27.44,108.68,-0.37,-0.73,2.60,2.72,206.57,-8.96,23.03,-0.61,24.72,338.75
20201120_17:00:03.70,99.9,99.9,999.9,001,4.39,-1.83,0.24,4.76,112.62,3.66,-1.10,0.24,3.82,106.70,4.39,0.73,0.20,4.45,80.54,4.75,1.83,0.10,5.09,68.96,-10.60,-2.56,3.04,11.32,256.43,-0.37,3.11,-2.67,4.11,353.29,-5.67,-0.37,-0.17,5.68,266.31,25.95,-8.77,1.52,27.44,108.68,-0.37,-0.73,2.60,2.72,206.57,-0.37,23.03,-1.76,23.10,359.09
20201120_17:00:04.22,99.9,99.9,999.9,001,4.39,-2.19,0.29,4.91,116.57,3.66,-1.10,0.24,3.82,106.70,4.39,0.73,0.20,4.45,80.54,4.75,1.83,0.10,5.09,68.96,-1.46,-1.83,4.16,4.78,218.66,-0.37,0.00,-3.09,3.11,270.00,-5.67,-0.37,-0.17,5.68,266.31,25.95,-8.77,1.52,27.44,108.68,-0.37,-0.73,2.60,2.72,206.57,-0.37,23.03,-1.76,23.10,359.09
20201120_17:00:04.75,99.9,99.9,999.9,001,3.84,-2.19,0.22,4.43,119.74,3.66,-1.10,0.24,3.82,106.70,4.39,0.73,0.20,4.45,80.54,4.75,1.83,0.10,5.09,68.96,-1.46,-1.83,4.16,4.78,218.66,-0.37,0.00,-3.09,3.11,270.00,-5.67,-0.37,-0.17,5.68,266.31,2.92,-8.77,4.60,10.33,161.57,-0.37,-0.73,2.60,2.72,206.57,-0.37,23.03,-1.76,23.10,359.09
