100,200,300,400,500,600,700,800,900,1000
Time,Temp.,Humin.,Pressure.,Az,H1_u,H1_v,H1_w,H1_ws,H1_wd,H2_u,H2_v,H2_w,H2_ws,H2_wd,H3_u,H3_v,H3_w,H3_ws,H3_wd,H4_u,H4_v,H4_w,H4_ws,H4_wd,H5_u,H5_v,H5_w,H5_ws,H5_wd,H6_u,H6_v,H6_w,H6_ws,H6_wd,H7_u,H7_v,H7_w,H7_ws,H7_wd,H8_u,H8_v,H8_w,H8_ws,H8_wd,H9_u,H9_v,H9_w,H9_ws,H9_wd,H10_u,H10_v,H10_w,H10_ws,H10_wd
20201120_14:00:00.21,99.9,99.9,999.9,001,5.48,-1.46,-0.34,5.68,104.93,5.48,-0.37,-0.10,5.50,93.81,5.85,-1.46,-0.10,6.03,104.04,4.02,-2.19,-0.34,4.59,118.61,4.39,-2.19,-0.10,4.90,116.57,5.67,0.91,-0.29,5.75,80.84,-0.73,0.37,0.54,0.98,296.57,-2.74,2.38,0.49,3.66,310.91,0.00,1.10,0.73,1.32,0.00,0.37,0.00,-0.24,0.44,90.00
20201120_14:00:00.74,99.9,99.9,999.9,001,5.48,-1.10,-0.29,5.60,101.31,5.12,0.00,-0.10,5.12,90.00,6.21,-1.10,-0.20,6.31,100.01,4.02,-2.19,-0.24,4.59,118.61,4.02,-2.19,-0.05,4.58,118.61,5.48,0.55,-0.27,5.52,84.29,0.00,-0.37,0.34,0.50,180.00,-2.74,2.38,0.49,3.66,310.91,0.00,1.10,0.73,1.32,0.00,0.37,0.00,-0.24,0.44,90.00
20201120_14:00:01.26,99.9,99.9,999.9,001,5.85,-1.10,-0.44,5.97,100.62,5.48,0.00,-0.05,5.48,90.00,6.21,-1.10,-0.20,6.31,100.01,4.02,-2.19,-0.24,4.59,118.61,3.66,-2.19,0.00,4.26,120.96,5.48,0.73,-0.24,5.54,82.41,-0.73,-0.37,0.44,0.93,243.43,-2.74,2.38,0.49,3.66,310.91,0.00,0.73,0.69,1.00,0.00,0.37,0.00,-0.24,0.44,90.00
20201120_14:00:01.79,99.9,99.9,999.9,001,5.85,-0.73,-0.39,5.91,97.13,6.21,0.00,-0.05,6.21,90.00,6.21,-1.10,-0.20,6.31,100.01,4.39,-1.83,-0.15,4.75,112.62,3.66,-2.19,0.00,4.26,120.96,5.48,0.73,-0.24,5.54,82.41,-1.10,0.73,0.54,1.42,303.69,-4.02,2.38,0.32,4.68,300.58,0.00,0.73,0.69,1.00,0.00,0.37,0.00,-0.24,0.44,90.00
20201120_14:00:02.32,99.9,99.9,999.9,001,5.85,-1.10,-0.34,5.96,100.62,5.85,0.00,0.10,5.85,90.00,5.85,-1.10,-0.15,5.95,100.62,4.39,-1.83,-0.15,4.75,112.62,4.75,-1.46,0.24,4.98,107.10,5.48,1.10,-0.20,5.59,78.69,-0.91,0.73,0.51,1.28,308.66,-4.02,2.38,0.32,4.68,300.58,-0.18,0.37,0.71,0.82,333.43,0.37,0.00,-0.24,0.44,90.00
20201120_14:00:02.85,99.9,99.9,999.9,001,7.31,-0.37,-0.05,7.32,92.86,5.85,0.00,0.20,5.85,90.00,6.21,-1.10,-0.10,6.31,100.01,4.02,-1.83,-0.20,4.42,114.44,4.75,-1.10,0.29,4.89,102.99,5.48,1.10,-0.20,5.59,78.69,-0.91,0.73,0.51,1.28,308.66,-4.02,2.38,0.32,4.68,300.58,-0.18,0.37,0.71,0.82,333.43,0.00,0.00,-0.20,0.20,0.00
20201120_14:00:03.37,99.9,99.9,999.9,001,6.40,0.00,-0.22,6.40,90.00,5.85,0.37,0.15,5.86,86.42,6.21,-1.83,-0.20,6.48,106.39,4.39,-1.83,-0.15,4.75,112.62,4.39,-1.10,0.34,4.53,104.04,5.12,1.10,-0.15,5.24,77.91,-0.37,1.10,0.39,1.22,341.57,-4.02,2.38,0.32,4.68,300.58,-0.37,0.37,0.69,0.86,315.00,-0.37,0.00,-0.24,0.44,270.00
20201120_14:00:03.90,99.9,99.9,999.9,001,5.30,-0.18,-0.05,5.30,91.97,5.85,0.37,0.15,5.86,86.42,6.58,-1.83,-0.15,6.83,105.52,4.39,-1.46,-0.20,4.63,108.43,4.39,-0.73,0.39,4.46,99.46,5.12,1.10,-0.15,5.24,77.91,-1.46,1.10,0.54,1.91,306.87,-4.02,2.38,0.32,4.68,300.58,-0.37,0.37,0.69,0.86,315.00,-0.37,0.37,-0.29,0.59,315.00
20201120_14:00:04.43,99.9,99.9,999.9,001,6.40,0.91,-0.05,6.46,81.87,5.85,0.37,0.15,5.86,86.42,6.58,-1.83,-0.15,6.83,105.52,4.39,-1.10,-0.24,4.53,104.04,4.39,-0.73,0.39,4.46,99.46,5.12,0.55,-0.07,5.15,83.88,-1.10,1.10,0.59,1.66,315.00,-4.02,3.29,0.20,5.20,309.29,-0.37,0.37,0.69,0.86,315.00,-0.37,0.37,-0.29,0.59,315.00
20201120_14:00:04.95,99.9,99.9,999.9,001,6.94,1.10,0.00,7.03,81.03,5.85,0.37,0.15,5.86,86.42,6.58,-1.83,-0.15,6.83,105.52,4.39,-1.10,-0.24,4.53,104.04,4.39,-0.73,0.39,4.46,99.46,5.12,0.55,-0.07,5.15,83.88,-1.10,1.10,0.59,1.66,315.00,-4.02,3.29,0.20,5.20,309.29,-0.37,0.37,0.69,0.86,315.00,-0.73,0.37,-0.34,0.89,296.57
