100,200,300,400,500,600,700,800,900,1000
Time,Temp.,Humin.,Pressure.,Az,H1_u,H1_v,H1_w,H1_ws,H1_wd,H2_u,H2_v,H2_w,H2_ws,H2_wd,H3_u,H3_v,H3_w,H3_ws,H3_wd,H4_u,H4_v,H4_w,H4_ws,H4_wd,H5_u,H5_v,H5_w,H5_ws,H5_wd,H6_u,H6_v,H6_w,H6_ws,H6_wd,H7_u,H7_v,H7_w,H7_ws,H7_wd,H8_u,H8_v,H8_w,H8_ws,H8_wd,H9_u,H9_v,H9_w,H9_ws,H9_wd,H10_u,H10_v,H10_w,H10_ws,H10_wd
20201120_13:00:00.25,99.9,99.9,999.9,001,3.66,0.00,-0.20,3.66,90.00,2.92,0.73,-0.29,3.03,75.96,5.48,-0.37,-0.20,5.50,93.81,2.92,-0.73,-0.29,3.03,104.04,4.39,-2.19,0.49,4.93,116.57,1.46,1.83,-2.89,3.72,38.66,0.00,-1.10,0.54,1.22,180.00,-5.85,17.55,0.00,18.49,341.57,-11.70,-0.18,-0.02,11.70,269.10,-22.66,-2.19,1.76,22.84,264.47
20201120_13:00:00.78,99.9,99.9,999.9,001,3.66,0.00,-0.20,3.66,90.00,2.92,0.73,-0.29,3.03,75.96,5.48,0.00,-0.24,5.49,90.00,2.92,-0.73,-0.29,3.03,104.04,5.12,-2.19,0.59,5.60,113.20,1.46,1.83,-2.89,3.72,38.66,0.00,-1.10,0.54,1.22,180.00,-5.85,17.55,0.00,18.49,341.57,-11.70,-0.37,-0.05,11.70,268.21,-22.66,-2.19,1.76,22.84,264.47
20201120_13:00:01.31,99.9,99.9,999.9,001,3.66,0.00,-0.20,3.66,90.00,2.92,0.37,-0.34,2.97,82.87,5.48,-0.37,-0.29,5.50,93.81,2.92,-0.73,-0.29,3.03,104.04,5.12,-2.19,0.59,5.60,113.20,1.46,1.83,-2.89,3.72,38.66,0.00,-1.10,0.54,1.22,180.00,-5.85,17.55,0.00,18.49,341.57,-11.70,-0.37,-0.05,11.70,268.21,-22.66,-2.19,1.76,22.84,264.47
20201120_13:00:01.83,99.9,99.9,999.9,001,3.66,0.00,-0.20,3.66,90.00,2.92,0.73,-0.29,3.03,75.96,5.12,-0.37,-0.24,5.14,94.09,2.92,-1.10,-0.34,3.14,110.56,5.12,-1.83,0.54,5.46,109.65,1.46,0.00,-2.64,3.02,90.00,0.00,0.00,0.69,0.69,0.00,-5.85,17.55,0.00,18.49,341.57,-11.70,-0.37,-0.05,11.70,268.21,-22.66,-5.85,2.25,23.51,255.53
20201120_13:00:02.36,99.9,99.9,999.9,001,3.66,-1.46,-0.39,3.96,111.80,2.56,0.73,-0.34,2.68,74.05,5.12,0.00,-0.39,5.13,90.00,2.92,-1.10,-0.24,3.13,110.56,3.29,-2.01,0.32,3.87,121.43,1.46,0.73,-2.55,3.03,63.43,0.00,0.00,0.69,0.69,0.00,-5.85,17.55,0.00,18.49,341.57,-11.70,-0.37,-0.05,11.70,268.21,-22.66,-5.85,2.25,23.51,255.53
20201120_13:00:02.89,99.9,99.9,999.9,001,3.66,-1.46,-0.39,3.96,111.80,2.56,0.00,-0.44,2.60,90.00,5.12,0.00,-0.39,5.13,90.00,2.92,-1.10,-0.24,3.13,110.56,2.92,-2.01,0.27,3.56,124.51,1.46,0.73,-2.55,3.03,63.43,0.37,0.00,0.73,0.82,90.00,-5.85,17.55,0.00,18.49,341.57,-11.70,-0.37,-0.05,11.70,268.21,-22.66,-5.85,2.25,23.51,255.53
20201120_13:00:03.41,99.9,99.9,999.9,001,3.66,-1.46,-0.39,3.96,111.80,2.92,0.00,-0.39,2.95,90.00,4.75,-0.37,-0.39,4.78,94.40,2.92,-1.10,-0.24,3.13,110.56,2.92,-3.29,0.05,4.40,138.37,1.46,0.73,-2.55,3.03,63.43,0.37,0.00,0.73,0.82,90.00,-5.85,17.55,0.00,18.49,341.57,-0.37,-0.37,1.47,1.56,225.00,-22.66,-5.85,2.25,23.51,255.53
20201120_13:00:03.94,99.9,99.9,999.9,001,2.92,-1.46,-0.49,3.31,116.57,2.92,0.37,-0.44,2.98,82.87,4.39,-0.37,-0.34,4.41,94.76,2.92,-0.73,-0.29,3.03,104.04,3.29,-1.83,0.29,3.77,119.05,1.46,0.73,-2.55,3.03,63.43,0.73,-0.73,0.59,1.19,135.00,-5.85,17.55,0.00,18.49,341.57,-0.37,-0.37,1.47,1.56,225.00,-22.66,-5.85,2.25,23.51,255.53
20201120_13:00:04.47,99.9,99.9,999.9,001,3.66,-1.46,-0.39,3.96,111.80,2.92,0.00,-0.39,2.95,90.00,4.39,-0.37,-0.34,4.41,94.76,2.56,-0.73,-0.24,2.67,105.95,3.29,-1.83,0.29,3.77,119.05,1.46,0.73,-2.55,3.03,63.43,0.73,-0.73,0.59,1.19,135.00,-5.85,17.55,0.00,18.49,341.57,-0.37,-12.06,-0.10,12.07,181.74,-22.66,-5.85,2.25,23.51,255.53
20201120_13:00:05.00,99.9,99.9,999.9,001,4.20,-0.18,-0.29,4.22,92.49,3.29,0.37,-0.39,3.33,83.66,4.39,-0.37,-0.34,4.41,94.76,2.19,-1.10,-0.15,2.46,116.57,3.29,-1.83,0.29,3.77,119.05,1.46,1.46,-2.45,3.20,45.00,0.73,-0.73,0.59,1.19,135.00,-5.85,17.55,0.00,18.49,341.57,-0.37,-12.06,-0.10,12.07,181.74,-22.66,-5.85,2.25,23.51,255.53
